,Unnamed: 0,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
0,187674,2021,2020-21,1610612740,New Orleans Pelicans,1629627,Zion Williamson,F,PF,12-25-2020,22000000,MIA,NOP,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3299999999999999,5.905,3,4,0,19
1,187680,2021,2020-21,1610612748,Miami Heat,201609,Goran Dragic,G,PG,12-25-2020,22000000,MIA,NOP,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3299999999999999,5.845,3,4,0,33
2,187684,2021,2020-21,1610612740,New Orleans Pelicans,202339,Eric Bledsoe,G,SG,12-25-2020,22000000,MIA,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.34,6.785,25,4,0,38
3,187687,2021,2020-21,1610612740,New Orleans Pelicans,1628366,Lonzo Ball,G,PG,12-25-2020,22000000,MIA,NOP,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.28,8.025,25,4,0,45
4,187691,2021,2020-21,1610612748,Miami Heat,202340,Avery Bradley,G,SG,12-25-2020,22000000,MIA,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.72,7.705,25,4,0,53
5,187695,2021,2020-21,1610612740,New Orleans Pelicans,202339,Eric Bledsoe,G,SG,12-25-2020,22000000,MIA,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.0,7.405,25,4,1,15
6,187698,2021,2020-21,1610612748,Miami Heat,202340,Avery Bradley,G,SG,12-25-2020,22000000,MIA,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.3,5.745,23,4,1,33
7,187701,2021,2020-21,1610612740,New Orleans Pelicans,1629627,Zion Williamson,F,PF,12-25-2020,22000000,MIA,NOP,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,5.885,3,4,1,59
8,187702,2021,2020-21,1610612748,Miami Heat,1630173,Precious Achiuwa,F,PF,12-25-2020,22000000,MIA,NOP,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.12,5.875,1,4,2,11
9,187706,2021,2020-21,1610612748,Miami Heat,201609,Goran Dragic,G,PG,12-25-2020,22000000,MIA,NOP,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.6,8.455,27,4,2,16
