,Unnamed: 0,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
154,188544,2021,2020-21,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,12-23-2020,22000000,BOS,MIL,Made Shot,True,Step Back Bank Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.48,8.105,27,4,0,1
155,188550,2021,2020-21,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.1699999999999999,7.295,15,4,0,26
156,188556,2021,2020-21,1610612738,Boston Celtics,1628464,Daniel Theis,C,C,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.16,8.425,26,4,0,45
159,188570,2021,2020-21,1610612749,Milwaukee Bucks,1628978,Donte DiVincenzo,G,SG,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.985,2,4,0,53
161,188576,2021,2020-21,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.19,6.295,5,4,0,56
162,188577,2021,2020-21,1610612749,Milwaukee Bucks,201950,Jrue Holiday,G,PG,12-23-2020,22000000,BOS,MIL,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.6800000000000002,7.715,25,4,1,10
164,188583,2021,2020-21,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,12-23-2020,22000000,BOS,MIL,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.09,6.875,15,4,1,24
166,188587,2021,2020-21,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.19,6.335,5,4,1,40
168,188591,2021,2020-21,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,12-23-2020,22000000,BOS,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.905,1,4,1,52
169,188610,2021,2020-21,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.13,7.215,25,4,2,19
172,188628,2021,2020-21,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.25,8.305,25,4,2,43
173,188635,2021,2020-21,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,12-23-2020,22000000,BOS,MIL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.2,6.355,13,4,2,58
174,188638,2021,2020-21,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,12-23-2020,22000000,BOS,MIL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.12,6.705,14,4,3,26
175,188659,2021,2020-21,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.24,8.525,27,4,3,43
176,188664,2021,2020-21,1610612749,Milwaukee Bucks,1626192,Pat Connaughton,G,SG,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.35,6.295,24,4,3,53
177,188672,2021,2020-21,1610612738,Boston Celtics,1628464,Daniel Theis,C,C,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.28,8.195,27,4,4,7
179,188675,2021,2020-21,1610612749,Milwaukee Bucks,201572,Brook Lopez,C,C,12-23-2020,22000000,BOS,MIL,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,4,22
180,188680,2021,2020-21,1610612749,Milwaukee Bucks,201950,Jrue Holiday,G,PG,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.3600000000000003,6.455,24,4,4,25
181,188687,2021,2020-21,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.17,7.625,21,4,4,40
183,188693,2021,2020-21,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-23-2020,22000000,BOS,MIL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,1.38,6.734999999999999,16,4,5,1
185,188704,2021,2020-21,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,12-23-2020,22000000,BOS,MIL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.98,7.655,21,4,5,25
189,188728,2021,2020-21,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,12-23-2020,22000000,BOS,MIL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.06,8.265,27,4,5,51
