,Unnamed: 0,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
153,188543,2021,2020-21,1610612742,Dallas Mavericks,1626196,Josh Richardson,G,SG,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,5.885,22,4,0,3
157,188563,2021,2020-21,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.06,7.995,22,4,0,11
158,188566,2021,2020-21,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,12-23-2020,22000000,PHX,DAL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.745,0,4,0,35
160,188572,2021,2020-21,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,12-23-2020,22000000,PHX,DAL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.09,7.195,17,4,0,40
163,188582,2021,2020-21,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.49,7.945,26,4,1,5
165,188584,2021,2020-21,1610612756,Phoenix Suns,101108,Chris Paul,G,PG,12-23-2020,22000000,PHX,DAL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.8800000000000001,6.995,15,4,1,20
167,188589,2021,2020-21,1610612742,Dallas Mavericks,1628467,Maxi Kleber,F,PF,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.18,8.405000000000001,26,4,1,30
170,188619,2021,2020-21,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.2,8.035,25,4,2,16
171,188626,2021,2020-21,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,12-23-2020,22000000,PHX,DAL,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.62,6.605,10,4,2,45
178,188674,2021,2020-21,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.15,7.465,16,4,3,25
182,188690,2021,2020-21,1610612742,Dallas Mavericks,1626161,Willie Cauley-Stein,C,C,12-23-2020,22000000,PHX,DAL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,5.685,0,4,3,38
184,188696,2021,2020-21,1610612756,Phoenix Suns,101108,Chris Paul,G,PG,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.3,5.735,23,4,3,45
186,188715,2021,2020-21,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,12-23-2020,22000000,PHX,DAL,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.04,6.6850000000000005,9,4,3,59
187,188724,2021,2020-21,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,12-23-2020,22000000,PHX,DAL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.75,6.135,8,4,4,15
188,188727,2021,2020-21,1610612742,Dallas Mavericks,1628973,Jalen Brunson,G,PG,12-23-2020,22000000,PHX,DAL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.21,6.905,11,4,4,32
190,188733,2021,2020-21,1610612756,Phoenix Suns,203109,Jae Crowder,F,PF,12-23-2020,22000000,PHX,DAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.96,8.195,26,4,5,1
193,188744,2021,2020-21,1610612742,Dallas Mavericks,1626196,Josh Richardson,G,SG,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.34,7.945,25,4,5,15
194,188750,2021,2020-21,1610612742,Dallas Mavericks,1628973,Jalen Brunson,G,PG,12-23-2020,22000000,PHX,DAL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.875,1,4,5,29
195,188754,2021,2020-21,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.1100000000000003,7.255,25,4,5,36
196,188760,2021,2020-21,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.61,7.835,26,4,6,3
200,188775,2021,2020-21,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.43,6.695,10,4,6,16
205,188818,2021,2020-21,1610612756,Phoenix Suns,1628975,Jevon Carter,G,PG,12-23-2020,22000000,PHX,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.69,7.715,25,4,6,55
206,188825,2021,2020-21,1610612742,Dallas Mavericks,1628973,Jalen Brunson,G,PG,12-23-2020,22000000,PHX,DAL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.18,5.795,1,4,7,11
207,188829,2021,2020-21,1610612756,Phoenix Suns,204038,Langston Galloway,G,SG,12-23-2020,22000000,PHX,DAL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.12,7.335,15,4,7,27
