,Unnamed: 0,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
508,190618,2021,2020-21,1610612744,Golden State Warriors,1628539,Mychal Mulder,G,PG,12-22-2020,22000000,BKN,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.99,8.165,25,4,0,7
509,190619,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,12-22-2020,22000000,BKN,GSW,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.2,6.615,8,4,0,10
512,190622,2021,2020-21,1610612751,Brooklyn Nets,1629617,Reggie Perry,F,PF,12-22-2020,22000000,BKN,GSW,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,0,47
513,190623,2021,2020-21,1610612751,Brooklyn Nets,1627789,Timothe Luwawu-Cabarrot,F,SF,12-22-2020,22000000,BKN,GSW,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.3399999999999999,6.675,9,4,0,49
514,190624,2021,2020-21,1610612744,Golden State Warriors,1629673,Jordan Poole,G,SG,12-22-2020,22000000,BKN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.26,6.895,25,4,1,8
515,190625,2021,2020-21,1610612751,Brooklyn Nets,1629066,Rodions Kurucs,F,SF-PF,12-22-2020,22000000,BKN,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.3,6.195,23,4,1,21
516,190626,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,12-22-2020,22000000,BKN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.42,6.315,15,4,1,30
518,190628,2021,2020-21,1610612751,Brooklyn Nets,1629617,Reggie Perry,F,PF,12-22-2020,22000000,BKN,GSW,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.24,6.045,3,4,1,42
520,190630,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,12-22-2020,22000000,BKN,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.26,8.085,23,4,1,54
522,190632,2021,2020-21,1610612751,Brooklyn Nets,1627789,Timothe Luwawu-Cabarrot,F,SF,12-22-2020,22000000,BKN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.34,7.765,23,4,2,7
523,190633,2021,2020-21,1610612744,Golden State Warriors,1627814,Damion Lee,G,SG,12-22-2020,22000000,BKN,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.21,8.094999999999999,26,4,2,33
524,190634,2021,2020-21,1610612751,Brooklyn Nets,1627789,Timothe Luwawu-Cabarrot,F,SF,12-22-2020,22000000,BKN,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,2,47
525,190635,2021,2020-21,1610612751,Brooklyn Nets,1628971,Bruce Brown,G,PG,12-22-2020,22000000,BKN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.26,6.305,23,4,2,54
527,190637,2021,2020-21,1610612751,Brooklyn Nets,1627789,Timothe Luwawu-Cabarrot,F,SF,12-22-2020,22000000,BKN,GSW,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.03,7.325,15,4,3,0
529,190639,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,12-22-2020,22000000,BKN,GSW,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.925,1,4,3,13
530,190640,2021,2020-21,1610612751,Brooklyn Nets,1627789,Timothe Luwawu-Cabarrot,F,SF,12-22-2020,22000000,BKN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.72,7.595,25,4,3,24
531,190641,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,12-22-2020,22000000,BKN,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,2.04,6.095,20,4,3,37
