,Unnamed: 0,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
538,190648,2021,2020-21,1610612747,Los Angeles Lakers,203471,Dennis Schroder,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.22,6.484999999999999,7,4,3,13
543,190653,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.08,6.055,2,4,3,37
545,190655,2021,2020-21,1610612747,Los Angeles Lakers,203076,Anthony Davis,F,PF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.25,6.295,13,4,3,56
547,190657,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.48,6.895,18,4,4,17
548,190658,2021,2020-21,1610612747,Los Angeles Lakers,203471,Dennis Schroder,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.37,7.545,18,4,4,32
549,190659,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.01,7.085,16,4,4,51
551,190661,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.23,6.565,23,4,5,7
554,190664,2021,2020-21,1610612746,Los Angeles Clippers,101150,Lou Williams,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.09,7.145,24,4,5,21
555,190665,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.34,6.255,14,4,5,24
556,190666,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,5.845,22,4,5,37
